,Academic,AcademicInstitution,Accommodation,Actor,AdministrativeDivision,Airline,Airport,AirportOperator,Appellation,AppointedRole,Appointee,Appointer,Architect,ArchitectureFirmPartner,ArmedForce,ArtSeries,Astronaut,Astronomer,Athlete,AutomobileCompany,AutomotiveDesigner,Award,AwardDiscipline,AwardJudge,AwardNominee,AwardPresentingOrganization,AwardWinner,BasketballCoach,BasketballConference,BasketballPlayer,BasketballTeam,Bassist,Blog,Blogger,BoardMember,BodyOfWater,Boxer,Brand,Bridge,Broadcast,BroadcastArtist,BroadcastContent,BroadcastDistributor,Building,BuildingComplex,BuildingFunction,CandyBarManufacturer,CauseOfDeath,Celebrity,CelestialObject,Cemetery,Chancellor,Chef,ChemicalCompound,ChivalricOrderMember,CityTown,Collector,College,CollegeCoach,CollegeUniversity,Comedian,ComicBookCreator,ComicBookInker,ComicBookPenciler,ComicBookPublisher,ComicBookSeries,ComicBookWriter,ComicStripArtist,ComicStripSyndicate,Company,CompanyAdvisor,CompanyDivision,CompanyFounder,CompanyShareholder,Composer,ComputerDesigner,ComputerScientist,ConcertTour,Conductor,ConsumerProduct,Country,CricketPlayer,Criminal,Cuisine,Cyclist,DedicatedWork,Dedicatee,Dedicator,Degree,Deity,DietFollower,DisasterVictim,Disease,DiseaseCause,DiseaseOrMedicalCondition,Election,EndorsedProduct,Engine,EnglishCivilParish,EnglishMetropolitanBorough,Facility,FashionDesigner,FashionLabel,FictionalJobTitle,FictionalUniverse,FictionalUniverseCreator,FieldOfStudy,Film,FilmActor,FilmArtDirector,FilmCharacter,FilmCinematographer,FilmCompany,FilmCostumerDesigner,FilmCrewmember,FilmCritic,FilmDirector,FilmDistributor,FilmEditor,FilmFestivalFocus,FilmMusicContributor,FilmProducer,FilmProductionDesigner,FilmScreeningVenue,FilmWriter,FootballCoach,FootballCompetition,FootballLeague,FootballManager,FootballOrganization,FootballPlayer,FootballTeam,FoundingFigure,FrenchDepartment,Game,GameDesigner,GamePublisher,GeographicFeature,GermanState,GermanUrbanDistrict,Golfer,GovernmentAgency,GovernmentalBody,GovernmentalJurisdiction,Governor,Guitarist,HallOfFameInductee,HistoricPlace,Hobbyist,HockeyPlayer,HockeyTeam,HonoraryDegreeRecipient,Hospital,House,HumanLanguage,Illustrator,IndonesianCity,InfectiousDisease,Invention,Inventor,Island,ItalianComune,JapaneseDesignatedCity,JobTitle,Journal,Journalist,Judge,Kingdom,Lake,Legislature,LiterarySchoolOrMovement,Location,LondonBorough,Lyricist,Magazine,ManufacturingPlant,MartialArt,MartialArtist,Mayor,MedicalSpecialty,MedicalTreatment,MemberOfParliament,MembershipOrganization,MeteorologicalService,MilitaryCommander,MilitaryPerson,MilitaryPost,MilitaryUnit,Model,Monarch,Mountain,MountainRange,Mountaineer,Museum,MusicalAlbum,MusicalArtist,MusicalGroup,MusicalGroupMember,MusicalPerformanceRole,NaturalOrCulturalPreservationAgency,Neighborhood,Newspaper,NoblePerson,Non-ProfitOrganisation,OfficeHolder,OlympicAthlete,OlympicBiddingCity,OlympicEvent,OlympicEventCompetition,OlympicHostCity,OlympicVenue,OperaCharacter,OperaDirector,OperatingSystemDeveloper,Orchestra,OrganismClassification,Organization,OrganizationSector,PeriodicalPublisher,Person,Philosopher,Physician,PlaceWithNeighborhoods,Planet,PoliticalAppointer,PoliticalDistrict,PoliticalParty,Politician,President,ProcessorManufacturer,ProductionCompany,Profession,ProfessionalField,ProfessionalSportsTeam,ProgrammingLanguageDesigner,ProgrammingLanguageDeveloper,ProjectParticipant,ProtectedArea,Protein,Protocol,ProtocolProvider,RadioNetwork,RadioStation,RecordLabel,RecordProducer,RecordingEngineer,RecurringCompetition,RecurringEvent,Region,Religion,ReligiousLeader,ReligiousOrganization,RiskFactor,River,RocketEngineDesigner,RocketManufacturer,Saint,School,SchoolDistrict,Scientist,ScottishCouncilArea,Senator,Skyscraper,SoccerClub,Software,SoftwareDeveloper,SoftwareLicense,Songwriter,Soundtrack,SouthKoreanCity,SpaceAgency,SpacecraftManufacturer,Sport,SportsAssociation,SportsFacility,SportsLeagueAwardWinner,SportsLeagueChampionship,SportsOfficial,SportsTeam,Stadium,StarSystemBody,Station,Surgeon,Symptom,TVActor,TVChannel,TVCharacter,TVDirector,TVNetwork,TVPersonality,TVProducer,TVWriter,TelevisionStation,TennisPlayer,TennisTournamentChampion,TheaterActor,TheaterDirector,TheatricalComposer,TheatricalLyricist,TouristAttraction,TradeUnion,TransportOperator,TransportTerminus,U.S.Congressperson,USCounty,USPresident,USState,USTerritory,USVicePresident,University,VentureFundedCompany,VideoGameActor,VideoGameDesigner,VideoGameDeveloper,VideoGamePublisher,VisualArtist,Waterfall,Website,WineRegion,Wrestler,Writer
Sflemi11,,,,1.060094,1.884969,,,,,,,,,,,,,,,,,,,,4.382056,,3.435799,,,,,,,,,,,,,,3.305664,,,,,,,0.579041,4.383931,,,,,,,,,,,,,,,,,,,,,,,,0.9243,,0.484204,,,,,,,,,,,,,,,,,,0.579041,0.579041,0.579041,,,,,,,,,,,,,,3.435799,,,,,,,,0.458399,,0.495933,,0.458399,0.937491,,,0.458399,,,,,,0.915668,,,,,,,,,,,,,2.416282,,0.971524,0.458399,,,,,,,,,,,,,,,,,,,,,,,,,1.43163,,0.930802,,,,,,,,,,,,,,,,,,,,,,5.731746,,1.897214,,,,,,,,,0.453339,,,,,,,,,,,,,,,,,,,0.935697,,,,,,,,,,,,,,,,,,,0.903867,,,,0.495933,,,,0.579041,,,,,,0.453339,,,,,,,,,,,,,,,,,,,,,,,,,0.579041,4.84233,,,0.458399,,1.382699,1.415193,,,,,0.601695,,,,,,,,,,,0.935697,,,,1.812583,,,,,,,1.2004,,,
peterpolak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SamethyTheThird,,,,0.493953,2.411308,,,,,,,0.462263,,,,,,,0.94814,,,,,,0.975321,,2.662893,,,,,,,,0.523788,,,,,0.691328,0.533981,,,,,,,,0.462263,,,,,,0.481368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475849,,,,,,,,,0.975321,,,,,,,,0.481368,,,,0.481368,0.481368,,,0.481368,,,,,,3.34391,,,,,,,,,,,,,2.842602,,,,,,,,,,,,,,,,,,,,,,,,0.628691,,,,1.152479,,,,,,0.481368,,,,0.49003,,0.628691,,,,,,,,,,,,1.015349,,1.015349,,,,,,,,,0.475849,,,0.750774,,,,,,,,,,,,,0.750774,,0.462263,,,1.490619,0.462263,,,,,,,,,,,,,0.691328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.971565,,,,0.691328,0.538326,,,,,,0.493953,,,,,,,,0.462263,,0.462263,,,,,1.128796,,,,,,,0.639565,,,
Angelmengo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_protons,,,,,1.311483,,,,,,0.403924,,,,,,,,,,,,,,0.961792,,1.698342,,,,,,,,0.403924,,,,,0.360212,0.961792,,,,,,,,1.365716,,,,,,,,,,,,,,,,,,,,,,,,0.400185,,0.3137,,,,,,,,,,,,,,,,,,0.34797,,,,,,,,,,,,,,,,1.558731,0.309782,,,,,,,,,0.588155,,0.3137,,,,,,,,,,,,,,,,,,,,,0.735546,,1.621265,,0.648092,0.403924,,,,,,,,,,,,,,,,,,,,,,,,,1.212969,,0.3137,,,,,,,,,,,,,,,,,0.315032,,,,,1.593409,,0.961792,,0.385162,,,,,0.400185,,,,,0.368137,,0.714627,,,,,,,,,,,0.723328,,,,,1.428634,,,,,,,,,,,,,,0.360212,,,0.3137,,,,0.588155,,,,,,,,,,,,,1.028449,,,,,,0.3137,,,,,,,,,,,,,,,,,1.365716,,,,0.360212,,,,,,,,,,,,,,,1.028449,0.368137,,,,,,0.345057,,,,,,,,,,
datarade,,0.976159,,,2.240129,,,,,,,,,,,,,,,0.484509,,,,,0.463293,0.976159,0.947802,,,,,,,,,,,,,,0.463293,,,,,,,,0.917795,,,,,,,,,,,0.421907,,,,,,,,,,,,,,,0.463293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463293,,0.463293,,,,,,0.463293,,1.545346,,0.463293,0.463293,,0.804734,0.463293,,,,,,,,,,,,,,,,,,,2.294026,,,0.463293,,,,,,,,0.475326,,,,,,,,,,,,,0.408428,,,,1.501247,,0.463293,0.402342,0.484509,,,,,,,,,,,,,,,,,,,,0.857816,0.394523,0.857816,,,,,,,,,0.406193,,,0.406193,,,,0.976159,,,,,,,,,1.620401,,,0.398541,0.409505,,,,,0.463293,,,,0.976159,,,,,,,,,0.463293,,,,1.082053,,,,,,,,,,,,,,,,,0.976159,,0.463293,,,,,,,,,,,,,,,,,0.917795,,,,,0.463293,,,,,,,,,,,,,,,0.398541,,,,,0.421907,2.737974,,0.463293,,,,,1.314385,,,
edzelaski,,,,,1.838083,,,,,,,,,,,,,,1.759353,,,,,,,,0.318027,,,,,,,,0.353168,,,,,,,,,0.354299,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327029,,,,,,,,,,,,0.378867,,,,,,,,,,,,,,,,,0.354299,,,,,,,,,,,,,,,,,,0.711551,,,,,0.355175,,,0.31519,0.344996,0.382737,,2.082819,0.714759,,,,,,,0.355175,1.345198,,0.476788,,2.946247,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53931,,,,,,,,,,,,,,,,,,,,,,,,0.318027,0.318027,,,,,,,,,0.736377,0.355175,,,0.355175,,,,,0.318027,,,,,,,,0.731304,,,0.806086,,,,,,,,,,,0.378867,,,,,,,,,,,0.344996,1.090418,,,,,,,,,,,,,,,0.344126,,,,,,,,,,0.374921,,,,,0.714759,,,,,,0.346034,,,,,,,,,,,,,,,,,,,,0.320446,,0.450911,,,,,,,,,,,,,,
LKavannah,,,,0.306812,,,,,,,,,,,,,,,,,,,,,0.626809,,0.626809,,,,,,,,,,,,,,0.319997,,,,,,,,0.626809,,,,,,,,0.306812,,,,,,,,,,,,,,,,,,0.319997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.626809,,,,,,,,,,,,,0.306812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319997,,,,,,,,,,,,,,,,,,,,,,0.319997,,0.319997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.626809,,,,,,,,,,,,,,,,,,,,,,,,,,0.352565,,,,,,,0.672538,,,
ACTBIGOBAMA,,,,0.20089,1.538279,,,,0.225894,,0.257751,0.378755,,,0.225137,,,,,,,,,,0.775747,0.279974,2.131197,,,,,,,,0.458641,,,,,0.433036,0.227331,,,,,,,,1.211363,,,,,,,,,,,,,,,,,,,,,0.279974,,,0.574857,0.279974,,,,,,,,,,,,,,0.258506,,,,,,,,,,,,,,,,,,,,,1.22018,,,,,,,,0.20089,,0.348993,,,0.20089,,,,,,,,,,,,,,,,,,,,,0.460591,1.31285,,,0.257751,,,,,,,,,,,,,,,,,,,0.227331,,,,0.460591,,1.538279,,,,,,,,,,,,,,,,,,,,,,,,0.227129,,,,0.258506,,0.279974,,,,,,,,,,0.48488,,,,,0.279974,,,,,,0.225429,,0.378755,0.963857,0.489932,0.85381,0.378755,,,,,,,,,,,,,0.211841,,,,,,,0.348993,,,,,,,,,,,,,0.475055,,,,,,,,,,,,,,,,,,,,,,,1.639584,,,,0.211841,0.802188,0.775747,,,,,0.20089,,,,,,,,0.85381,0.225429,0.378755,0.963857,,,,0.427303,,,0.225137,0.225137,,,0.427303,0.225894,,
evaekel,,0.802073,,,0.550263,,,0.37388,,,,,,,,,,,,0.24609,,,,,,1.175953,,,,,,,,,0.255059,,,0.66134,,,,,,,,,,,,,,,,,,,0.255059,,,,,,,,,,,,,0.37388,,,0.270925,0.255059,,,,,,,0.238433,,,,,,,,,,,,0.26605,,,,,,,,,0.255059,,,,,,,,,,,,,,,,,0.31183,,,,,,,,,,,,,,,,,,,,,,,0.631161,0.257281,0.807544,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.550263,,,0.553984,,,,,,,,,,,0.255059,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52506,,,,,,,,,,,,0.238433,,0.239385,,1.995535,,,,,1.248775,1.734338,,,,,0.66134,,,,,,,,0.31183,,,,,,,,,,,,,,,,0.251167,3.171488,0.270925,,,,0.37388,0.37388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238433,,,,2.351684,,,0.97785,0.97785,,,0.645092,0.238433,,
ofgeography,,0.389762,,0.302709,0.655394,,,0.342462,,,,,,,,,,,1.149224,,,,,,0.645274,1.029829,,,,,,,,,,,,,,,0.302709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.798915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297605,,,,,,0.328457,,,,,,,,,,0.316543,,,,,,,,,,,,,,,,,,,,,,,0.342462,,0.655394,,,,,,1.149224,0.322744,,,,,,,,,,,,,,,,,,,,,0.316543,,,,,,,,,,,,,,,,,,0.310866,,,,,,0.956007,,,,,,,,,,1.149224,0.338851,,,,,0.310866,,0.389762,,,,,,,,,,,,,,,,,,,,0.322744,,0.389762,,,,,,,,,,,,,0.316543,,0.310866,,,,,,,,0.338851,,,,,,,0.732224,,,,,0.342462,0.342462,,0.456453,,,,,0.322744,,,,,,1.482383,,,,,0.618013,0.302709,,,,,,,,,,,,,,,,,,,,0.389762,,,,,0.458664,,,,,
sujaik,0.507309,,,,0.481296,,,0.534547,,,,,,,,,,,,,,,,,0.439716,0.976146,1.829171,,,,,,,,,,,,,0.880263,,,,0.445906,,,,,,,,,,,0.94436,,,,,,,,,,,,,,,0.976146,,,,0.441599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.439716,,,,,0.439716,,,,,,,,,,,,,,,,,,,,0.534547,,0.481296,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.927202,,,,,,,,,,,,,,,,,,,,,,0.445906,0.439716,0.439716,,,,,,0.441599,,,,,,,,,,,,,,,0.441599,,0.439716,,,,,,,,,,,,0.439716,,,,,,,,,,,0.440547,,,,,0.505745,0.505745,,,,,,,,,,,,0.507309,,,,,,0.534547,,,,,0.534547,0.534547,,,,,,,,,,,,,,,,,0.880263,,0.439716,,,,,,,,,,,,,,,,,,,,0.508697,,,,,0.914081,,0.508697,,,
ednad21,0.301791,,,0.196055,1.612145,,,,,,0.345665,0.218762,,,0.230782,,,,,,,,,,1.167063,0.198967,1.835946,,,,,,,,0.345665,,,,,0.211528,0.535635,,,,,,,,1.73149,,,,,,,,,,,,,,,,,,,,,0.410495,,,0.770761,0.198967,,,,,,,,,,,,,,0.197122,,,,,,,,,,,,,,,,,,,,,1.825893,,,0.254455,0.211528,,,,,,0.563407,,0.301791,,,,,,,,,,,,,,,,,,,,,,0.197122,1.8666,0.445242,,0.345665,,,,,,,,,,,,,,,,,,,,,,,0.197122,,1.8666,,,,,,,,,,,,,,,,,0.200247,,,,,,,0.735882,0.535635,,,0.197122,,0.198967,,,0.235261,,,,,,,0.345665,,,,,0.410495,,,,,0.301791,,,0.664004,1.303193,0.59446,1.458518,0.218762,,,,,,,,,,,,,,,,,,,,0.563407,,,,,,,,,,,0.301791,,0.559253,,,,,,,,,,,,,,,,,,,,,,,1.73149,,,,0.211528,0.971008,0.971008,,,,,0.196055,,,,,,,,0.778015,,0.218762,1.048738,,,,,,,,,,,,,,
Film2240,,,,0.24557,1.742267,,,,0.287226,,,,,,,,,,,,,,,,1.062917,,1.560597,,,,,,,,0.24557,0.25917,,,,,0.248955,,,0.288645,,,,,0.816004,,,,,,0.24557,,0.24557,,,,,,,,,,,,,,,,0.567049,,,,,,,,0.250439,,,,,,,0.246834,,,,,,,,,,,,,0.288645,,,,,,,,0.816004,,,0.24557,,,,,0.24557,,0.753571,,,0.24557,,,0.492404,,,,,,,,,,,,,,,,,0.29359,0.238852,1.986553,,0.248955,0.491472,,,,,,,,0.243541,,,,,0.246834,,,,,,,,0.440667,,,,2.534368,,,,,,,,,,0.762944,0.238852,0.440667,,,,,,,,,,,,0.248955,,0.248955,,,,,,,,,,,,0.250439,,,,,,,,,,,,,,,,0.784143,,1.005364,,,,,,,,,,,,,,,,,,,,,0.508001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816004,,,0.24557,,0.321479,0.567049,,,,,,,,,0.238852,,,,,,,0.287226,,,,0.398323,,,,,,0.25917,0.398323,0.287226,,0.752575
HillarySoldout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesthey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eliasdjtrevino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
couwy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaNs__DoLo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJNation,,0.347261,,,0.727709,,,,,,,,,,,,,,1.604349,,,,,,,0.347261,0.355589,,,,,,,,0.344443,,,,,,,,0.355589,,,,,,,,,,,,0.38982,,,,,,,,,,,,,,,1.365052,0.42871,,,,,,,,,,0.357239,,,,,,,,,,,,,,,,,,,0.347937,,,,,,,,,,,,,,,,,,0.355589,0.379772,,,,,,,,,,0.90855,0.42871,4.263827,1.315065,,,,,,,,,,,,1.073777,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372461,,,,0.357239,,,,0.347261,,,,,,0.42871,,,0.346068,,,,,,,,,,,1.315065,,0.347261,,,,,,,,,,,,,0.379772,,,,,,,,,,,,,,,1.315065,,0.347261,,,,,,,,0.42871,,0.936342,,,1.315065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.134228,,,,,,,0.786967,,,
shigh35,,,,,0.451291,,,,,,,,,,,,,,0.409179,,,,0.502844,,,,0.557082,,,,,,,,,,,,,,,,0.557082,,,,,,,,,,,,,,,,,,,,,,,,,,,0.590425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557082,,,,,,0.502844,,,,,,,,,,,,,,,,,,,,0.954135,,,,,,0.409179,,,,,,,,,,,,,,,,,,0.502844,,,,0.502844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.451291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.451291,,,,,,,,,,,,,,,0.590425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.985073,,,,,,,0.985073,,,
ColinInUrPocket,,,,3.754223,1.462314,,,,,,,,,,,,,,,,,,,,8.094342,,7.64173,,,,,,,,0.982537,,,0.471514,,0.952658,,,,,,,,,4.207692,,,,,0.477879,,,,,,0.447222,,,,,0.471514,,,,,1.534032,,,1.516722,,0.466379,,,,,,,,,,,,,0.438766,,,0.45323,,,0.477879,,,,,,,,,,,,,,,5.611569,,0.475088,,,,,,,0.952658,,,1.06314,2.850257,,,4.855511,,,,,,,,,,,,,,,,,,,1.967492,,0.596761,,,,,,,,,,,,,,,,,,,,,,,,,,1.022553,,0.466379,,,,,,,0.477879,,,,,0.438766,,,,,,,,,,1.989185,,1.06314,,,,,,,,,,,,,,,,,,,0.48613,,,,,,1.385692,,,1.022553,,0.498732,,,1.424172,,,1.270738,,,,,0.477879,,,,,,0.466379,,,,,0.456407,,0.456407,,,,,,,,,,0.498732,,,,,,0.466379,,,,,,,,,,,1.270738,,,,,,4.729187,,,,0.952658,0.453469,1.872619,0.596761,,,,0.435461,,,,,,,,0.498732,,,1.022553,,,0.447222,,,,,,,,,,,2.937251
kingnnaj,,,,0.884572,1.538982,,,,,,,,,,,,,,,,,,,,1.915435,,1.915435,,,,,,,,,,,,,,0.410596,,,,,,,,1.472391,,,,,,,,,,,0.432979,0.420428,,,,,,,,,0.847508,0.43161,,1.030863,,,,,,,,,,,,,,,0.441528,,,,,0.432167,,0.432167,,,,,,,,,,,,,,2.335863,,0.441528,,,,,,0.441528,,0.554222,,,0.861956,,,0.861956,,,,,0.43161,2.234179,,,,,,,,,,,,,1.896046,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31811,,0.410596,,,,,,,,,,,,,,,,,,,,,,1.718284,,0.410596,,,,,,,,0.436884,,,,,,,,,,,,,,0.43161,,,0.455901,,,0.457649,,0.447466,,,,,,,,,,,,,,,,,0.410596,,,,0.554222,,,,0.432167,,,,,,,,,,,,0.437266,,,,,,,,,0.43161,,,,,,,,,,0.432167,2.335863,,0.420428,0.441528,,1.478329,1.040695,0.441528,,,,,,,,,,,,,,,0.457649,,,0.432979,0.694477,,,,,,,0.694477,,,
beaterast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AcidDiegoV,,,,,0.75332,,,,,,,,,,,,,,,,,,0.299959,,1.179871,,1.489887,,,,,,,,,,,,,0.604219,0.313639,,,,,,,,1.179871,,,,,,,,,,,,,,,,,,,,,0.310016,,,0.866232,,0.313639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.514304,,,,,,,,,,0.457867,,,,,0.299959,,,,,,,0.334433,,,,,,,,,,,0.309067,0.309067,1.645427,,,,,,,,,,,,,,,,,,,,,,,,0.299959,,,,1.33636,,,,,,,,,,,,,,,,,,,,,,,,0.313639,,0.313639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.310016,0.294203,,,,,,0.457867,,,,,,,,,,,,,,,,0.304551,,,,,,,,,,,,,,,,,,,,0.866232,,,,0.310016,0.866232,0.866232,,,,,,,,,,,,,,,,,,,,0.602158,,,,,,,0.302909,,,
PaperBatVG,,,,,,,,,,,,,,,,,,,,,,,,,0.463353,,1.247314,,,,,,,,,,,,,0.551864,,,0.783961,,,,,,0.463353,,,,,,,,,,,,,,,,,,,,,,,,0.463353,,,,,,,,,,,,,,,,,0.608363,,,,,,,,,,,,,,,,,,,0.463353,,,,,,,,,0.783961,,,,,,,,,,,,,,,,,,,,,,,,,,0.513443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463353,,,,,0.463353,0.463353,,,,,,,,,,,,,,,,,,,,1.366606,,,,,,,1.366606,,,
