,influencer,score,t_id
0,kegansan,154,614807708575907840
1,jeffznikekb27,530,614807708575907840
2,ashnextd00r,490,614807708575907840
3,jasminific,29,618798114825220097
4,miss_erychick,86,618798114825220097
5,NA_Bridget,42,618798114825220097
